product_id,avg_sentiment,sentiment,sentiment_score
B08WKG2MWT,0.9943,Positive,0.9943
B08WKFSN84,0.9943,Positive,0.9943
B09XJ5LD6L,0.9943,Positive,0.9943
B078JF6X9B,0.9942,Positive,0.9942
B09DG9VNWB,0.9942,Positive,0.9942
B08CGW4GYR,0.9942,Positive,0.9942
B01JOFKL0A,0.9941,Positive,0.9941
B0BPBXNQQT,0.9941,Positive,0.9941
B078JBK4GX,0.9939,Positive,0.9939
B08YXJJW8H,0.9939,Positive,0.9939
B0B12K5BPM,0.9939,Positive,0.9939
B00GHL8VP2,0.9939,Positive,0.9939
B08JQN8DGZ,0.9938,Positive,0.9938
B0989W6J2F,0.9938,Positive,0.9938
B0B6BLTGTT,0.9938,Positive,0.9938
B018SJJ0GE,0.9938,Positive,0.9938
B07SLMR1K6,0.9938,Positive,0.9938
B082LSVT4B,0.9937,Positive,0.9937
B09W9V2PXG,0.9937,Positive,0.9937
B09Q8WQ5QJ,0.9937,Positive,0.9937
B098NS6PVG,0.9937,Positive,0.9937
B08H21B6V7,0.9937,Positive,0.9937
B08S7V8YTN,0.9937,Positive,0.9937
B082LZGK39,0.9937,Positive,0.9937
B09MM6P76N,0.9936,Positive,0.9936
B09YLWT89W,0.9935,Positive,0.9935
B08WD18LJZ,0.9935,Positive,0.9935
B07Z3K96FR,0.9935,Positive,0.9935
B07T9FV9YP,0.9934,Positive,0.9934
B097R4D42G,0.9934,Positive,0.9934
B01486F4G6,0.9934,Positive,0.9934
B09RZS1NQT,0.9933,Positive,0.9933
B07Y5FDPKV,0.9933,Positive,0.9933
B0B2CWRDB1,0.9933,Positive,0.9933
B09KPXTZXN,0.9933,Positive,0.9933
B01I1LDZGA,0.9932,Positive,0.9932
B096TWZRJC,0.9932,Positive,0.9932
B06XR9PR5X,0.9932,Positive,0.9932
B09HQSV46W,0.9931,Positive,0.9931
B098T9CJVQ,0.9931,Positive,0.9931
B0B6F98KJJ,0.9931,Positive,0.9931
B0B8CXTTG3,0.9931,Positive,0.9931
B0B6F8HHR6,0.9931,Positive,0.9931
B0B6F7LX4C,0.9931,Positive,0.9931
B0B25DJ352,0.9931,Positive,0.9931
B0819HZPXL,0.993,Positive,0.993
B08D77XZX5,0.993,Positive,0.993
B07222HQKP,0.9929,Positive,0.9929
B08SMJT55F,0.9929,Positive,0.9929
B0BPCJM7TB,0.9929,Positive,0.9929
B07QDSN9V6,0.9929,Positive,0.9929
B084872DQY,0.9928,Positive,0.9928
B09VGS66FV,0.9928,Positive,0.9928
B09Q5P2MT3,0.9928,Positive,0.9928
B08B42LWKN,0.9928,Positive,0.9928
B07SLNG3LW,0.9928,Positive,0.9928
B09Q5SWVBJ,0.9928,Positive,0.9928
B08HQL67D6,0.9928,Positive,0.9928
B09RWQ7YR6,0.9927,Positive,0.9927
B09XBJ1CTN,0.9927,Positive,0.9927
B0BHYJ8CVF,0.9927,Positive,0.9927
B0B4SJKRDF,0.9927,Positive,0.9927
B07H5PBN54,0.9927,Positive,0.9927
B07M69276N,0.9927,Positive,0.9927
B07YZG8PPY,0.9926,Positive,0.9926
B0BB3CBFBM,0.9926,Positive,0.9926
B082T6V3DT,0.9926,Positive,0.9926
B08CS3BT4L,0.9925,Positive,0.9925
B0B8SRZ5SV,0.9925,Positive,0.9925
B0B31FR4Y2,0.9925,Positive,0.9925
B017NC2IPM,0.9925,Positive,0.9925
B0B8SSC5D9,0.9925,Positive,0.9925
B07XLCFSSN,0.9925,Positive,0.9925
B09939XJX8,0.9924,Positive,0.9924
B07G3YNLJB,0.9924,Positive,0.9924
B084N18QZY,0.9924,Positive,0.9924
B079Y6JZC8,0.9924,Positive,0.9924
B07QCWY5XV,0.9923,Positive,0.9923
B09F3PDDRF,0.9923,Positive,0.9923
B09MB3DKG1,0.9923,Positive,0.9923
B07GVGTSLN,0.9923,Positive,0.9923
B0BCVJ3PVP,0.9923,Positive,0.9923
B07F1P8KNV,0.9923,Positive,0.9923
B00LOD70SC,0.9922,Positive,0.9922
B0B8ZKWGKD,0.9921,Positive,0.9921
B00V4BGDKU,0.9921,Positive,0.9921
B08FYB5HHK,0.9921,Positive,0.9921
B0BCYQY9X5,0.992,Positive,0.992
B0BBN4DZBD,0.992,Positive,0.992
B0BBN3WF7V,0.992,Positive,0.992
B09H34V36W,0.992,Positive,0.992
B0BBN56J5H,0.992,Positive,0.992
B08K4PSZ3V,0.9919,Positive,0.9919
B01L7C4IU2,0.9919,Positive,0.9919
B08K4RDQ71,0.9919,Positive,0.9919
B0B5YBGCKD,0.9919,Positive,0.9919
B09KLVMZ3B,0.9918,Positive,0.9918
B01F25X6RQ,0.9917,Positive,0.9917
B08XLR6DSB,0.9917,Positive,0.9917
B08L4SBJRY,0.9917,Positive,0.9917
B015OW3M1W,0.9917,Positive,0.9917
B01LYU3BZF,0.9917,Positive,0.9917
B01F262EUU,0.9917,Positive,0.9917
B088GXTJM3,0.9917,Positive,0.9917
